"region","x1","x2","x3","x4","x5"
1,3.24406753317453,1.30019452303648,"forest",NA,1.58004044001261
1,3.46033870205283,1.05640804996714,"forest",NA,2.82150078573681
1,5.62305039083585,1.13767020765692,"forest",NA,1.46718040858314
1,1.94644051990472,1.46271883841604,"forest",NA,2.0314805657305
1,3.67660987093113,1.78776746917516,"forest",NA,1.24146034572419
1,3.67660987093113,1.38145668072626,"forest",NA,2.14434059715997
2,3.80961338990601,0.913860621835093,"forest",1.07524762159568,0.622675940953195
2,4.72917524264194,1.26534547638705,"forest",0.948747901407952,0.431083343736827
2,4.59780926367966,1.33564244729744,"forest",1.13849748168954,0.542845692113042
3,3.80491164163686,1.65456088259816,"forest",NA,0.557670518220402
3,3.04392931330949,2.23365719150752,"forest",NA,0.763128077564761
3,3.99515722371871,1.73728892672807,"forest",NA,0.645723757939413
3,3.61466605955502,1.07546457368881,"forest",NA,0.528319438314065
3,4.56589396996424,1.57183283846825,"forest",NA,0.440266198595054
4,3.72172317802906,2.47460160031915,"forest",1.28906564842013,0.755482560142431
4,4.78507265746594,1.7322211202234,"forest",1.39648778578848,0.8184394401543
4,5.05091002732515,1.48476096019149,"forest",1.82617633526185,1.25913760023738
4,3.72172317802906,1.60849104020745,"forest",2.04102060999854,0.755482560142431
4,3.98756054788828,2.72206176035106,"forest",2.36328702210358,1.44800824027299
4,5.31674739718437,2.35087152030319,"forest",1.82617633526185,1.25913760023738
5,1.71180360048311,5.51062859236861,"forest",5.52283697199643,0.997757498782722
5,1.71180360048311,7.34750478982481,"forest",7.10079039256684,0.570147142161555
5,3.08124648086959,6.42906669109671,"forest",7.10079039256684,0.712683927701944
5,1.02708216028986,4.59219049364051,"forest",7.10079039256684,1.99551499756544
5,1.71180360048311,5.51062859236861,"forest",6.31181368228163,1.2828310698635
5,1.71180360048311,5.51062859236861,"forest",4.73386026171123,0.427610356621167
5,2.05416432057973,14.6950095796496,"forest",3.94488355142602,1.56790464094428
5,1.71180360048311,4.59219049364051,"forest",2.36693013085561,0.427610356621167
5,2.39652504067635,3.67375239491241,"forest",4.73386026171123,1.14029428432311
5,3.08124648086959,0.918438098728101,"forest",4.73386026171123,0.997757498782722
5,1.71180360048311,2.7553142961843,"forest",3.15590684114082,1.14029428432311
5,3.08124648086959,5.51062859236861,"forest",4.73386026171123,0.855220713242333
5,3.42360720096622,7.34750478982481,"forest",3.94488355142602,0.427610356621167
5,3.42360720096622,7.34750478982481,"forest",3.94488355142602,0.855220713242333
5,2.39652504067635,10.1028190860091,"forest",9.46772052342245,0.855220713242333
6,1.04814224615693,3.83292586576672,"mountain",6.76725013119335,3.27585018675774
6,1.19787685275078,2.87469439932504,"mountain",7.61315639759251,2.18390012450516
